CGD/C1179700 in EUR from 01.01.2024 to 30.06.2024,,,,,,,,,,
Positions,,,,,,,,,,
,,,,,,,,,,
Quantity,Description,ISIN,Currency,Last Price (QC),"Valuation
(VC, End)",Weighting,MW Performance,Account Number,Telekurs Number,Asset Class Code
44 539.80,ORDINARY ACCOUNT IN USD,,USD,1.07,41 557.75,2.08%,1.17%,C1179700,,Cash
 140 000.00,4.8% Fid. On Call BNP PARIBAS LUX CWAIVER CALL On Call No. 54697,,USD,1.07, 130 661.48,6.55%,5.35%,C1179700,,Short-Term Instruments
7 678.73,DHARMARESEARCH DR GBL A,LU1901202363,EUR,101.12, 776 473.38,38.91%,1.43%,C1179700,0444336850,Fixed Income
1 200.00,ISHARES III EURO GOV BD,IE00B4WXJJ64,EUR,109.45, 131 340.00,6.58%,-2.09%,C1179700,0101275080,Fixed Income
4 865.52,DHARMARESEARCH DR EQ A,LU1901202280,EUR,167.25, 813 758.89,40.78%,7.81%,C1179700,0444336750,Equities
1 045.81,MONTLAKE ALPHAQUEST INS €,IE00BD08G390,EUR,97.28, 101 731.13,5.10%,3.16%,C1179700,0335314140,Other Investments
