CGD/C1179700 in EUR from 01.01.2024 to 01.04.2024,,,,,,,,,,
Positions,,,,,,,,,,
,,,,,,,,,,
Quantity,Description,ISIN,Currency,Last Price (QC),"Valuation
(VC, End)",Weighting,MW Performance,Account Number,Telekurs Number,Asset Class Code
48 793.17,ORDINARY ACCOUNT IN USD,,USD,1.07,45 412.98,2.29%,1.06%,C1179700,,Cash
 140 000.00,4.8% Fid. On Call BNP PARIBAS LUX CWAIVER CALL On Call No. 54697,,USD,1.07, 130 353.50,6.56%,4.11%,C1179700,,Short-Term Instruments
7 678.73,DHARMARESEARCH DR GBL A,LU1901202363,EUR,100.59, 772 403.65,38.90%,0.90%,C1179700,0444336850,Fixed Income
1 200.00,ISHARES III EURO GOV BD,IE00B4WXJJ64,EUR,110.82, 132 978.00,6.70%,-0.87%,C1179700,0101275080,Fixed Income
4 865.52,DHARMARESEARCH DR EQ A,LU1901202280,EUR,165.03, 802 957.43,40.44%,6.37%,C1179700,0444336750,Equities
1 045.81,MONTLAKE ALPHAQUEST INS €,IE00BD08G390,EUR,97.18, 101 629.79,5.12%,3.06%,C1179700,0335314140,Other Investments
