"Securities Non-Ledger Movements Details;;;;;;;;;;;;Financial Instrument Details;;;;;;;;;;;;;;;;;;;;;;;;;;;Investment Account Details;;"
"Client ID;Transaction Reference;Type;Quantity;Creation Date;Value Date;Market Price;Price Currency;Rate Type;Operation Type Code;Weighted Average Cost;Internal Reference;KBL Code identifying Security used;ISIN Code;Telekurs Code;Sedol Code;Description of Security;Type of Financial Instrument;Complementary Type;Expression Type;Currency Code;VNI Frequency;Place of Listing;Calculation Basis;Contract size;Strike Price;Currency Strike Price;Maturity Date;Interest Type;Interest Rate in percentage;Coupon Periodicity;Coupon Maturity;Issue Date;Issue Nominal Amount;Issue Nominal Amount Currency;Indicator Issue Emission;Indicateur Equalization Factor;Rating S&P;Economic Sector;KBL Account Number;Account Name;Client Name"
"K00149ED;KLXP2B25945DBD56;VEN;-900,00;2025-08-05;2025-08-07; 166,62;EUR; ; ; ; ; 0444336750;LU1901202280;44433675;;<![CDATA[DHARMARESEARCH DR EQ A]]>;TRUSTUNITS;<![CDATA[OUTSIDE EQUITY FUND]]>;PCS;	EUR;	HEB;;;;EUR;;;;;;;0,00;EUR;;N;;;WEALINS-FR037466-ARTHA FINANCE;WEALINS-FR037466-ARTHA FINANCE;K00149ED;"
"K06899YP;KLXP2B25945DBD7D;VEN;-600,00;2025-08-05;2025-08-07; 166,62;EUR; ; ; ; ; 0444336750;LU1901202280;44433675;;<![CDATA[DHARMARESEARCH DR EQ A]]>;TRUSTUNITS;<![CDATA[OUTSIDE EQUITY FUND]]>;PCS;	EUR;	HEB;;;;EUR;;;;;;;0,00;EUR;;N;;;LIA-PCP 43843 - INTGFD-ARTHA;LIA-PCP 43843 - INTGFD-ARTHA;K06899YP;"
"K06899YP;KLXP2B25945DBDCB;ACH;8,60;2025-08-05;2025-08-06; 11.712,24;USD; ; ; ; ; 0436515670;LU1873130741;43651567;;<![CDATA[JPM USD LIQUIDITY LYNAV A]]>;TRUSTUNITS;<![CDATA[OUTS.S/TERM INSTR.FD]]>;PCS;	USD;	JOU;;;;USD;;;;;;;0,00;USD;;N;;;LIA-PCP 43843 - INTGFD-ARTHA;LIA-PCP 43843 - INTGFD-ARTHA;K06899YP;"
